Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS,
2016-17,NBA,Houston Rockets,55,27,.671,2,5.84,100.0,3.6,114.7,5.9,109.0,0.2,Lost W. Conf. Semis,M. D'Antoni (55-27),J. Harden (15.0),
2015-16,NBA,Houston Rockets,41,41,.500,4,0.34,97.6,1.8,108.3,1.9,108.1,1.7,Lost W. Conf. 1st Rnd.,K. McHale (4-7), J. Bickerstaff (37-34),J. Harden (13.3),
2014-15,NBA,Houston Rockets,56,26,.683,1,3.82,96.5,2.6,107.0,1.4,103.4,-2.2,Lost W. Conf. Finals,K. McHale (56-26),J. Harden (16.4),
2013-14,NBA,Houston Rockets,54,28,.659,2,5.06,96.3,2.4,111.0,4.3,106.3,-0.4,Lost W. Conf. 1st Rnd.,K. McHale (54-28),J. Harden (12.8),
2012-13,NBA,Houston Rockets,45,37,.549,3,3.69,96.1,4.1,109.7,3.8,106.1,0.2,Lost W. Conf. 1st Rnd.,K. McHale (45-37),J. Harden (12.8),
2011-12,NBA,Houston Rockets,34,32,.515,4,0.57,91.7,0.4,105.5,0.9,105.2,0.6,,K. McHale (34-32),G. Dragic (5.1),
2010-11,NBA,Houston Rockets,43,39,.524,5,2.37,94.2,2.1,111.3,4.0,109.0,1.7,,R. Adelman (43-39),K. Martin (9.5),
2009-10,NBA,Houston Rockets,42,40,.512,3,-0.02,94.0,1.3,107.6,0.0,108.0,0.4,,R. Adelman (42-40),L. Scola (6.3),
2008-09,NBA,Houston Rockets,53,29,.646,2,3.73,90.2,-1.5,108.4,0.1,104.0,-4.3,Lost W. Conf. Semis,R. Adelman (53-29),Y. Ming (10.6),
2007-08,NBA,Houston Rockets,55,27,.671,3,4.83,90.4,-2.0,106.8,-0.7,101.6,-5.9,Lost W. Conf. 1st Rnd.,R. Adelman (55-27),Y. Ming (8.3),
